0 048 71
CLI C 2-3 GE/SW Y MP
CLI C 2-3 GE/SW Z MP
CLI C 2-3 GESW + MP
CLI C 2-3 GESW - MP
CLI C 2-3 GESW . MP
CLI C 2-3 GESW 0 MP
CLI C 2-3 GESW 1 MP
CLI C 2-3 GESW 2 MP
CLI C 2-3 GESW 3 MP
CLI C 2-3 GESW 4 MP
CLI C 2-3 GESW 5 MP
CLI C 2-3 GESW 6 MP
CLI C 2-3 GESW 7 MP
CLI C 2-3 GESW 8 MP
CLI C 2-3 GESW 9 MP
CLI C 2-3 GESW A MP
CLI C 2-3 GESW B MP
CLI C 2-3 GESW C MP
CLI C 2-3 GESW D MP
CLI C 2-3 GESW E MP
CLI C 2-3 GESW F MP
CLI C 2-3 GESW G MP
CLI C 2-3 GESW H MP
CLI C 2-3 GESW I MP
CLI C 2-3 GESW J MP
CLI C 2-3 GESW K MP
CLI C 2-3 GESW L MP
CLI C 2-3 GESW M MP
CLI C 2-3 GESW MP
CLI C 2-3 GESW N MP
CLI C 2-3 GESW O MP
CLI C 2-3 GESW P MP
CLI C 2-3 GESW Q MP
CLI C 2-3 GESW R MP
CLI C 2-3 GESW S MP
CLI C 2-3 GESW T MP
CLI C 2-3 GESW U MP
CLI C 2-3 GESW V MP
CLI C 2-3 GESW W MP
CLI C 2-3 GESW X MP
CLI C 2-3 GESW Y MP
CLI C 2-3 GESW Z MP
CLI C 2-3 WS/SW + MP
CLI C 2-3 WS/SW - MP
CLI C 2-3 WS/SW . MP
CLI C 2-3 WS/SW / MP
CLI C 2-3 WS/SW 0 MP
CLI C 2-3 WS/SW 1 MP
CLI C 2-3 WS/SW 2 MP
CLI C 2-3 WS/SW 3 MP
CLI C 2-3 WS/SW 4 MP
CLI C 2-3 WS/SW 5 MP
CLI C 2-3 WS/SW 6 MP
CLI C 2-3 WS/SW 7 MP
CLI C 2-3 WS/SW 8 MP
CLI C 2-3 WS/SW 9 MP
CLI C 2-3 WS/SW A MP
CLI C 2-3 WS/SW B MP
CLI C 2-3 WS/SW C MP
CLI C 2-3 WS/SW D MP
